# 41113 frames, 8 streams

===== 192.168.1.188:59465 -> 192.168.1.2:15740 (CLIENT ->) =====
  InitCommandReq guid=b6120b165fca97c2ba0ca1a34a5589b0 name='Bobbys-MacBook-Pro\x00' ver=0x10000
  CmdRequest  op=OpenSession                    txid=1 phase=0 params=['0xffff', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=28 phase=0 params=['0x8190da31', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=29 phase=0 params=['0x8190da41', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=30 phase=0 params=['0x8190da51', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=31 phase=0 params=['0x8190da61', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=32 phase=0 params=['0x8190da71', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=33 phase=0 params=['0x8190da81', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=34 phase=0 params=['0x8190da91', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=35 phase=0 params=['0x8190daa1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=36 phase=0 params=['0x8190dab1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=37 phase=0 params=['0x8190dac1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=38 phase=0 params=['0x8190dad1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=39 phase=0 params=['0x8190dae1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=40 phase=0 params=['0x8190daf1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=41 phase=0 params=['0x8190db01', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=42 phase=0 params=['0x8190db11', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=43 phase=0 params=['0x8190db21', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=44 phase=0 params=['0x8190db31', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=45 phase=0 params=['0x8190db41', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=46 phase=0 params=['0x8190db51', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=47 phase=0 params=['0x8190db61', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=48 phase=0 params=['0x8190db71', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=49 phase=0 params=['0x8190db81', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=50 phase=0 params=['0x8190db91', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=51 phase=0 params=['0x8190dba1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=52 phase=0 params=['0x8190dbb1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=53 phase=0 params=['0x8190dbc1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=54 phase=0 params=['0x8190dbd1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=55 phase=0 params=['0x8190dbe1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=56 phase=0 params=['0x8190dbf1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=57 phase=0 params=['0x8190dc01', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=58 phase=0 params=['0x8190dc11', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=59 phase=0 params=['0x8190dc21', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=60 phase=0 params=['0x8190dc31', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=61 phase=0 params=['0x8190dc41', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=62 phase=0 params=['0x8190dc51', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=63 phase=0 params=['0x8190dc61', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=64 phase=0 params=['0x8190dc71', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=65 phase=0 params=['0x8190dc81', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=66 phase=0 params=['0x8190dc91', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=67 phase=0 params=['0x8190dca1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=68 phase=0 params=['0x8190dcb1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=69 phase=0 params=['0x8190dcc1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=70 phase=0 params=['0x8190dcd1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=71 phase=0 params=['0x8190dce1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=72 phase=0 params=['0x8190dcf1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=73 phase=0 params=['0x8190dd01', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=74 phase=0 params=['0x8190dd11', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=75 phase=0 params=['0x8190dd21', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=76 phase=0 params=['0x8190dd31', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=77 phase=0 params=['0x8190dd41', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=78 phase=0 params=['0x8190dd51', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=79 phase=0 params=['0x8190dd61', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=80 phase=0 params=['0x8190dd71', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=81 phase=0 params=['0x8190dd81', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=82 phase=0 params=['0x8190dd91', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=83 phase=0 params=['0x8190dda1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=84 phase=0 params=['0x8190ddb1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=85 phase=0 params=['0x8190ddc1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=86 phase=0 params=['0x8190ddd1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=87 phase=0 params=['0x8190dde1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=88 phase=0 params=['0x8190ddf1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=89 phase=0 params=['0x8190de01', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=90 phase=0 params=['0x8190de11', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=91 phase=0 params=['0x8190de21', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=92 phase=0 params=['0x8190de31', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=93 phase=0 params=['0x8190de41', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=94 phase=0 params=['0x8190de51', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=95 phase=0 params=['0x8190de61', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=96 phase=0 params=['0x8190de71', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=97 phase=0 params=['0x8190de81', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=98 phase=0 params=['0x8190de91', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=99 phase=0 params=['0x8190dea1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=100 phase=0 params=['0x8190deb1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=101 phase=0 params=['0x8190dec1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=102 phase=0 params=['0x8190ded1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=103 phase=0 params=['0x8190dee1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=104 phase=0 params=['0x8190def1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=105 phase=0 params=['0x8190df01', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=106 phase=0 params=['0x8190df11', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=107 phase=0 params=['0x8190df21', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=108 phase=0 params=['0x8190df31', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=109 phase=0 params=['0x8190df41', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=110 phase=0 params=['0x8190df51', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=111 phase=0 params=['0x8190df61', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=112 phase=0 params=['0x8190df71', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=113 phase=0 params=['0x8190df81', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=114 phase=0 params=['0x8190df91', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=115 phase=0 params=['0x8190dfa1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=116 phase=0 params=['0x8190dfb1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=117 phase=0 params=['0x8190dfc1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=118 phase=0 params=['0x8190dfd1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=119 phase=0 params=['0x8190dfe1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=120 phase=0 params=['0x8190dff1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=121 phase=0 params=['0x8190e001', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=122 phase=0 params=['0x8190e011', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=123 phase=0 params=['0x8190e021', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=124 phase=0 params=['0x8190e031', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=125 phase=0 params=['0x8190e041', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=126 phase=0 params=['0x8190e051', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=127 phase=0 params=['0x8190e061', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=128 phase=0 params=['0x8190e071', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=129 phase=0 params=['0x8190e081', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=130 phase=0 params=['0x8190e091', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=131 phase=0 params=['0x8190e0a1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=132 phase=0 params=['0x8190e0b1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=133 phase=0 params=['0x8190e0c1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=134 phase=0 params=['0x8190e0d1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=135 phase=0 params=['0x8190e0e1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=136 phase=0 params=['0x8190e0f1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=137 phase=0 params=['0x8190e101', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=138 phase=0 params=['0x8190e111', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=139 phase=0 params=['0x8190e121', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=140 phase=0 params=['0x8190e131', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=141 phase=0 params=['0x8190e141', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=142 phase=0 params=['0x8190e151', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=143 phase=0 params=['0x8190e161', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=144 phase=0 params=['0x8190e171', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=145 phase=0 params=['0x8190e181', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=146 phase=0 params=['0x8190e191', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=147 phase=0 params=['0x8190e1a1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=148 phase=0 params=['0x8190e1b1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=149 phase=0 params=['0x8190e1c1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=150 phase=0 params=['0x8190e1d1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=151 phase=0 params=['0x8190e1e1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=152 phase=0 params=['0x8190e1f1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=153 phase=0 params=['0x8190e201', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=154 phase=0 params=['0x8190e211', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=155 phase=0 params=['0x8190e221', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=156 phase=0 params=['0x8190e231', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=157 phase=0 params=['0x8190e241', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=158 phase=0 params=['0x8190e251', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=159 phase=0 params=['0x8190e261', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=160 phase=0 params=['0x8190e271', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=161 phase=0 params=['0x8190e281', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=162 phase=0 params=['0x8190e291', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=163 phase=0 params=['0x8190e2a1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=164 phase=0 params=['0x8190e2b1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=165 phase=0 params=['0x8190e2c1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=166 phase=0 params=['0x8190e2d1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=167 phase=0 params=['0x8190e2e1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=168 phase=0 params=['0x8190e2f1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=169 phase=0 params=['0x8190e301', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=170 phase=0 params=['0x8190e311', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=171 phase=0 params=['0x8190e321', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=172 phase=0 params=['0x8190e331', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=173 phase=0 params=['0x8190e341', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=174 phase=0 params=['0x8190e351', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=175 phase=0 params=['0x8190e361', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=176 phase=0 params=['0x8190e371', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=177 phase=0 params=['0x8190e381', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=178 phase=0 params=['0x8190e391', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=179 phase=0 params=['0x8190e3a1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=180 phase=0 params=['0x8190e3b1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=181 phase=0 params=['0x8190e3c1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=182 phase=0 params=['0x8190e3d1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=183 phase=0 params=['0x8190e3e1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=184 phase=0 params=['0x8190e3f1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=185 phase=0 params=['0x8190e401', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=186 phase=0 params=['0x8190e411', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=187 phase=0 params=['0x8190e421', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=188 phase=0 params=['0x8190e431', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=189 phase=0 params=['0x8190e441', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=190 phase=0 params=['0x8190e451', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=191 phase=0 params=['0x8190e461', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=192 phase=0 params=['0x8190e471', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=193 phase=0 params=['0x8190e481', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=194 phase=0 params=['0x8190e491', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=195 phase=0 params=['0x8190e4a1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=196 phase=0 params=['0x8190e4b1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=197 phase=0 params=['0x8190e4c1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=198 phase=0 params=['0x8190e4d1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=199 phase=0 params=['0x8190e4e1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=200 phase=0 params=['0x8190e4f1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=201 phase=0 params=['0x8190e501', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=202 phase=0 params=['0x8190e511', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=203 phase=0 params=['0x8190e521', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=204 phase=0 params=['0x8190e531', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=205 phase=0 params=['0x8190e541', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=206 phase=0 params=['0x8190e551', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=207 phase=0 params=['0x8190e561', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=208 phase=0 params=['0x8190e571', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=209 phase=0 params=['0x8190e581', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=210 phase=0 params=['0x8190e591', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=211 phase=0 params=['0x8190e5a1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=212 phase=0 params=['0x8190e5b1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=213 phase=0 params=['0x8190e5c1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=214 phase=0 params=['0x8190e5d1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=215 phase=0 params=['0x8190e5e1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=216 phase=0 params=['0x8190e5f1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=217 phase=0 params=['0x8190e601', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=218 phase=0 params=['0x8190e611', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=219 phase=0 params=['0x8190e621', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=220 phase=0 params=['0x8190e631', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=221 phase=0 params=['0x8190e641', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=222 phase=0 params=['0x8190e651', '0x0', '0x0', '0x0', '0x0']
